SPP,year,RDST,chan,code,tagdate,julian,WQMT ,PIT,Fate,,,fatereach,origin,reaches,rand,n,ttp,Tmean,Tstd,Tmax,Tmin,max-min,DD,n >=20,DDT20,% >=20
ASH,2000,2560C,24,67,10/1/00,275,18.1,BONAFF,SFC,,,8,SNRfish,0,0.883826815,917,19.10416667,16.33,1.03,18.51,12.22,6.29,312,0,0.00,0.0
ASH,2000,2640C,24,91,10/9/00,283,16.6,BONAFF,CWR,,,8,SNRfish,0,0.56572177,1490,31.04166667,14.12,1.66,16.59,10.21,6.38,438,0,0.00,0.0
ASH,2000,2787B,25,151,10/3/00,277,17.4,BONAFF,EON,,,8,SNRfish,0,0.747018515,857,17.85416667,16.09,0.99,17.69,12.63,5.06,287,0,0.00,0.0
ASH,2000,2807C,24,76,10/5/00,279,16.8,BONAFF,DFHCWR,,,8,SNRfish,0,0.476336168,1685,35.10416667,14.20,2.00,16.99,9.92,7.07,498,0,0.00,0.0
ASH,2000,3081C,24,63,10/8/00,282,16.3,BONAFF,CWR,,,8,SNRfish,0,0.148901508,850,17.70833333,15.38,1.12,16.74,12.95,3.79,272,0,0.00,0.0
ASH,2000,3712C,10,141,9/30/00,274,17.9,BONAFF,KFHCWR,,,8,SNRfish,0,0.459498004,1429,29.77083333,15.67,1.45,18.50,13.05,5.45,467,0,0.00,0.0
ASH,2000,3733B,25,86,10/10/00,284,16.2,BONAFF,SALup,,,8,SNRfish,0,0.819808012,765,15.9375,15.38,0.95,16.45,12.87,3.58,245,0,0.00,0.0
ASH,2000,3763B,10,133,9/17/00,261,19.4,BONAFF,HBR,,,8,SNRfish,0,0.697801088,1402,29.20833333,18.42,0.98,19.74,15.39,4.35,538,0,0.00,0.0
ASH,2000,3781C,25,28,10/4/00,278,17.1,BONAFF,CWR,,,8,SNRfish,0,0.510022734,1863,38.8125,14.07,2.35,17.39,9.75,7.64,546,0,0.00,0.0
ASH,2000,3829B,24,155,10/9/00,283,16.6,BONAFF,Grpool,,,8,SNRfish,0,0.837573982,1283,26.72916667,14.43,1.68,16.56,10.84,5.72,386,0,0.00,0.0
ASH,2002,2987B,25,144,9/18/02,261,19.4,LGRRRR,GRT,,,8,SNRfish,0,0.103325957,550,11.45833333,18.38,1.14,19.79,13.97,5.82,211,0,0.00,0.0
ASH,2002,3816C,25,143,9/21/02,264,18.9,CLEARC,GRT,,,8,SNRfish,0,0.254215165,864,18,17.80,1.17,19.72,12.59,7.13,320,0,0.00,0.0
ASH,2002,4601B,25,39,9/21/02,264,18.9,LGRRRR,SFSCGR,,,8,SNRfish,0,0.831388268,1158,24.125,16.07,2.46,19.64,8.82,10.82,388,0,0.00,0.0
ASH,2002,4659B,24,84,9/19/02,262,19.2,LGRRRR,SNR,,,8,SNRfish,0,0.727156487,1110,23.125,17.78,1.24,19.92,14.83,5.09,411,0,0.00,0.0
